origin_full,destination_full,miles,rate,rpm,deadhead_origin,deadhead_destination,weight,truck_type,pickup_date,delivery_date,broker_name,broker_contact
"Fort Worth, TX","Philadelphia, PA",1008,3306,3.28,152,23,24852,Reefer,2026-05-29,2026-06-01,Uber Freight,844-822-8237
"Cincinnati, OH","Chicago, IL",2590,7795,3.01,198,25,29401,Dry Van,2026-05-29,2026-06-03,Coyote Logistics,877-626-9683
"Kansas City, MO","Knoxville, TN",1158,2536,2.19,144,65,42319,Dry Van,2026-06-17,2026-06-19,Landstar,800-872-9400
"Las Vegas, NV","Raleigh, NC",1235,3865,3.13,60,26,25371,Reefer,2026-06-05,2026-06-10,Landstar,800-872-9400
"Savannah, GA","Denver, CO",1619,4177,2.58,26,123,8452,Dry Van,2026-05-26,2026-05-29,Schneider,800-558-6767
"Greensboro, NC","Pittsburgh, PA",298,1031,3.46,177,101,41534,Step Deck,2026-06-17,2026-06-19,C.H. Robinson,800-323-7587
"Little Rock, AR","Knoxville, TN",1689,2888,1.71,24,148,36282,Step Deck,2026-05-19,2026-05-23,Echo Global Logistics,800-354-7993
"Columbus, OH","Buffalo, NY",2380,7163,3.01,157,72,20047,Step Deck,2026-05-27,2026-05-29,XPO Logistics,800-755-2728
"Boise, ID","San Antonio, TX",1887,5717,3.03,20,14,32440,Step Deck,2026-05-27,2026-05-29,Echo Global Logistics,800-354-7993
"New Orleans, LA","Los Angeles, CA",1108,1927,1.74,121,112,25191,Flatbed,2026-05-28,2026-06-01,Coyote Logistics,877-626-9683
"Birmingham, AL","Tulsa, OK",2063,7612,3.69,12,110,35565,Step Deck,2026-06-19,2026-06-19,C.H. Robinson,800-323-7587
"Columbus, OH","Rochester, NY",2243,5450,2.43,17,114,28262,Dry Van,2026-06-08,2026-06-10,RXO,800-866-0190
"Los Angeles, CA","Tulsa, OK",516,1625,3.15,93,121,26408,Reefer,2026-06-15,2026-06-17,TQL,800-580-3101
"Oklahoma City, OK","Plano, TX",1008,2318,2.3,99,81,24296,Flatbed,2026-05-21,2026-05-22,XPO Logistics,800-755-2728
"San Diego, CA","Tucson, AZ",682,2046,3.0,210,152,26265,Step Deck,2026-06-15,2026-06-19,RXO,800-866-0190
"Detroit, MI","Memphis, TN",2429,8865,3.65,104,96,24883,Reefer,2026-05-21,2026-05-25,Uber Freight,844-822-8237
"New York, NY","Las Vegas, NV",901,1468,1.63,17,66,9243,Dry Van,2026-05-24,2026-05-27,XPO Logistics,800-755-2728
"Reno, NV","New Orleans, LA",315,1058,3.36,195,143,43075,Dry Van,2026-06-15,2026-06-19,Landstar,800-872-9400
"Rochester, NY","Houston, TX",910,3339,3.67,84,144,8946,Dry Van,2026-06-08,2026-06-12,TQL,800-580-3101
"Miami, FL","Nashville, TN",402,1073,2.67,24,86,27191,Flatbed,2026-05-29,2026-06-01,RXO,800-866-0190
"Dallas, TX","Arlington, TX",2593,5497,2.12,127,16,20226,Flatbed,2026-06-19,2026-06-19,Schneider,800-558-6767
"Fresno, CA","Savannah, GA",2075,6183,2.98,195,68,8856,Dry Van,2026-06-10,2026-06-14,TQL,800-580-3101
"Seattle, WA","Lubbock, TX",511,965,1.89,89,1,17774,Reefer,2026-05-25,2026-05-28,Uber Freight,844-822-8237
"Cincinnati, OH","Irving, TX",275,569,2.07,171,76,33153,Dry Van,2026-05-31,2026-06-01,RXO,800-866-0190
"Charlotte, NC","Dallas, TX",2423,4216,1.74,161,33,33885,Step Deck,2026-06-11,2026-06-13,JB Hunt,800-452-4868
"Rochester, NY","Savannah, GA",1516,5578,3.68,45,62,35166,Flatbed,2026-05-21,2026-05-25,Landstar,800-872-9400
"Chicago, IL","Miami, FL",1931,6410,3.32,41,39,25615,Reefer,2026-05-20,2026-05-21,Schneider,800-558-6767
"Houston, TX","Rochester, NY",1752,3906,2.23,172,43,27849,Flatbed,2026-05-20,2026-05-25,Coyote Logistics,877-626-9683
"Seattle, WA","San Jose, CA",1329,4186,3.15,69,145,17543,Dry Van,2026-06-12,2026-06-13,C.H. Robinson,800-323-7587
"Greensboro, NC","Philadelphia, PA",1420,4870,3.43,46,153,26324,Reefer,2026-06-08,2026-06-09,XPO Logistics,800-755-2728
"St Louis, MO","Raleigh, NC",304,589,1.94,0,108,23089,Reefer,2026-05-25,2026-05-29,Schneider,800-558-6767
"St Louis, MO","Nashville, TN",1952,5856,3.0,82,141,9123,Step Deck,2026-05-31,2026-06-02,RXO,800-866-0190
"Orlando, FL","Pittsburgh, PA",1314,3955,3.01,193,111,14817,Step Deck,2026-06-10,2026-06-11,Schneider,800-558-6767
"San Jose, CA","Cincinnati, OH",2217,5653,2.55,27,150,32380,Reefer,2026-06-06,2026-06-08,Landstar,800-872-9400
"Philadelphia, PA","Nashville, TN",286,632,2.21,74,17,37176,Dry Van,2026-06-02,2026-06-05,Coyote Logistics,877-626-9683
"Denver, CO","Jacksonville, FL",1988,3339,1.68,134,4,26637,Dry Van,2026-05-25,2026-05-27,Coyote Logistics,877-626-9683
"Cleveland, OH","Seattle, WA",355,741,2.09,2,91,10133,Reefer,2026-05-22,2026-05-25,Landstar,800-872-9400
"Houston, TX","Memphis, TN",1133,4090,3.61,90,163,13031,Dry Van,2026-06-05,2026-06-06,Coyote Logistics,877-626-9683
"Sacramento, CA","Kansas City, MO",771,2390,3.1,18,107,11249,Flatbed,2026-05-25,2026-05-28,JB Hunt,800-452-4868
"Kansas City, MO","Austin, TX",2179,4270,1.96,92,139,17480,Reefer,2026-06-01,2026-06-04,Schneider,800-558-6767
"Boise, ID","Denver, CO",2407,5247,2.18,73,50,8046,Flatbed,2026-06-04,2026-06-05,Echo Global Logistics,800-354-7993
"New York, NY","Columbus, OH",2288,6292,2.75,158,69,8484,Reefer,2026-05-27,2026-05-28,Landstar,800-872-9400
"Fort Worth, TX","San Diego, CA",371,860,2.32,14,34,15942,Step Deck,2026-06-01,2026-06-06,JB Hunt,800-452-4868
"Cleveland, OH","Fort Lauderdale, FL",1032,2156,2.09,138,87,28726,Dry Van,2026-06-17,2026-06-19,Schneider,800-558-6767
"San Diego, CA","Rockford, IL",1737,5784,3.33,46,6,30719,Dry Van,2026-06-02,2026-06-07,Uber Freight,844-822-8237
"Tucson, AZ","Austin, TX",611,1386,2.27,30,83,16527,Dry Van,2026-06-02,2026-06-03,C.H. Robinson,800-323-7587
"Savannah, GA","Birmingham, AL",2254,8429,3.74,114,125,16087,Dry Van,2026-06-10,2026-06-15,Echo Global Logistics,800-354-7993
"Fort Wayne, IN","Rockford, IL",2576,9067,3.52,14,84,15866,Flatbed,2026-06-12,2026-06-17,Landstar,800-872-9400
"Lubbock, TX","Atlanta, GA",1762,3259,1.85,149,104,31652,Dry Van,2026-06-03,2026-06-06,TQL,800-580-3101
"Fort Wayne, IN","Phoenix, AZ",544,1980,3.64,168,55,15565,Dry Van,2026-05-22,2026-05-27,JB Hunt,800-452-4868
"Chicago, IL","New York, NY",2221,5174,2.33,33,15,24126,Dry Van,2026-06-10,2026-06-13,C.H. Robinson,800-323-7587
"Philadelphia, PA","Chicago, IL",2041,5408,2.65,73,56,45946,Step Deck,2026-05-31,2026-06-03,JB Hunt,800-452-4868
"Cincinnati, OH","Denver, CO",748,2505,3.35,181,145,23951,Dry Van,2026-06-18,2026-06-19,Landstar,800-872-9400
"Los Angeles, CA","San Jose, CA",2061,3503,1.7,67,53,46454,Reefer,2026-06-09,2026-06-13,Coyote Logistics,877-626-9683
"Charlotte, NC","Atlanta, GA",1155,2656,2.3,87,48,26607,Step Deck,2026-05-29,2026-05-30,C.H. Robinson,800-323-7587
"Denver, CO","Rochester, NY",432,941,2.18,205,165,25262,Reefer,2026-06-04,2026-06-09,JB Hunt,800-452-4868
"Little Rock, AR","Lubbock, TX",1750,3867,2.21,147,102,22970,Flatbed,2026-05-26,2026-05-30,Schneider,800-558-6767
"Tampa, FL","Savannah, GA",970,2328,2.4,71,41,8564,Flatbed,2026-05-30,2026-06-04,Schneider,800-558-6767
"Birmingham, AL","Cincinnati, OH",1374,2638,1.92,46,43,17811,Flatbed,2026-06-11,2026-06-13,Coyote Logistics,877-626-9683
"Kansas City, MO","Fort Worth, TX",1786,5608,3.14,133,93,33085,Step Deck,2026-06-15,2026-06-19,TQL,800-580-3101
"Fort Worth, TX","Jacksonville, FL",1047,1654,1.58,107,80,43126,Dry Van,2026-06-13,2026-06-18,Echo Global Logistics,800-354-7993
"Philadelphia, PA","San Jose, CA",1457,3598,2.47,145,116,37082,Reefer,2026-06-12,2026-06-16,TQL,800-580-3101
"Denver, CO","Oklahoma City, OK",1978,6863,3.47,70,42,31048,Dry Van,2026-06-11,2026-06-14,Coyote Logistics,877-626-9683
"Tampa, FL","Memphis, TN",499,1127,2.26,9,62,19677,Dry Van,2026-06-17,2026-06-19,Coyote Logistics,877-626-9683
"Knoxville, TN","Orlando, FL",885,1522,1.72,138,80,30455,Step Deck,2026-06-10,2026-06-13,Uber Freight,844-822-8237
"Oklahoma City, OK","Tulsa, OK",461,1461,3.17,45,149,46691,Reefer,2026-05-25,2026-05-28,Landstar,800-872-9400
"Buffalo, NY","New Orleans, LA",1567,3807,2.43,145,5,26639,Dry Van,2026-06-14,2026-06-17,XPO Logistics,800-755-2728
"Buffalo, NY","Tucson, AZ",2453,4979,2.03,68,157,22770,Flatbed,2026-05-22,2026-05-26,TQL,800-580-3101
"Arlington, TX","Sacramento, CA",279,744,2.67,177,27,27171,Flatbed,2026-06-17,2026-06-19,XPO Logistics,800-755-2728
"Arlington, TX","Tucson, AZ",1975,6932,3.51,211,129,38196,Reefer,2026-06-06,2026-06-11,Coyote Logistics,877-626-9683
"Seattle, WA","St Louis, MO",668,2057,3.08,50,25,14504,Step Deck,2026-06-11,2026-06-13,Uber Freight,844-822-8237
"Spokane, WA","Miami, FL",1560,2527,1.62,127,117,17101,Flatbed,2026-05-23,2026-05-25,XPO Logistics,800-755-2728
"Arlington, TX","Dallas, TX",2340,8424,3.6,103,99,19239,Dry Van,2026-05-31,2026-06-03,Schneider,800-558-6767
"San Jose, CA","Indianapolis, IN",637,1031,1.62,20,139,15791,Flatbed,2026-05-21,2026-05-25,Uber Freight,844-822-8237
"Fort Worth, TX","Jacksonville, FL",1742,6201,3.56,123,70,42817,Flatbed,2026-05-28,2026-05-29,Landstar,800-872-9400
"St Louis, MO","Grand Rapids, MI",2008,4116,2.05,168,82,24123,Step Deck,2026-06-16,2026-06-19,Echo Global Logistics,800-354-7993
"Fort Lauderdale, FL","Miami, FL",617,1881,3.05,46,1,33813,Reefer,2026-05-26,2026-05-27,Uber Freight,844-822-8237
"Fort Lauderdale, FL","Buffalo, NY",1309,2225,1.7,114,15,23316,Dry Van,2026-06-05,2026-06-08,RXO,800-866-0190
"Boise, ID","Spokane, WA",417,1004,2.41,128,153,16762,Flatbed,2026-05-20,2026-05-24,XPO Logistics,800-755-2728
"Raleigh, NC","Fresno, CA",2578,5259,2.04,183,112,34358,Reefer,2026-05-31,2026-06-04,RXO,800-866-0190
"Knoxville, TN","Indianapolis, IN",1151,3591,3.12,24,96,18885,Step Deck,2026-06-10,2026-06-11,C.H. Robinson,800-323-7587
"Raleigh, NC","Boise, ID",2078,4633,2.23,166,35,13743,Flatbed,2026-05-26,2026-05-28,Coyote Logistics,877-626-9683
"Lubbock, TX","Charlotte, NC",512,1617,3.16,65,72,33398,Step Deck,2026-06-04,2026-06-09,Coyote Logistics,877-626-9683
"Knoxville, TN","Houston, TX",444,883,1.99,97,105,13626,Flatbed,2026-05-20,2026-05-21,JB Hunt,800-452-4868
"Miami, FL","Buffalo, NY",818,2723,3.33,204,35,45804,Reefer,2026-06-15,2026-06-19,TQL,800-580-3101
"Tulsa, OK","Tucson, AZ",2357,6151,2.61,26,144,24358,Flatbed,2026-05-27,2026-05-31,TQL,800-580-3101
"Knoxville, TN","Plano, TX",829,2976,3.59,79,66,10839,Reefer,2026-06-02,2026-06-05,C.H. Robinson,800-323-7587
"Cleveland, OH","Grand Rapids, MI",1255,2698,2.15,63,117,26010,Dry Van,2026-06-01,2026-06-06,XPO Logistics,800-755-2728
"Los Angeles, CA","Fargo, ND",753,1400,1.86,55,42,12823,Reefer,2026-05-25,2026-05-27,TQL,800-580-3101
"Los Angeles, CA","San Diego, CA",2135,6298,2.95,209,153,26074,Dry Van,2026-05-24,2026-05-28,Landstar,800-872-9400
"San Diego, CA","Sacramento, CA",211,398,1.89,157,61,41546,Step Deck,2026-06-01,2026-06-02,Uber Freight,844-822-8237
"Lubbock, TX","Denver, CO",2309,3971,1.72,79,46,31371,Dry Van,2026-06-02,2026-06-03,Coyote Logistics,877-626-9683
"Lubbock, TX","Philadelphia, PA",1775,6514,3.67,192,137,26470,Dry Van,2026-06-03,2026-06-05,JB Hunt,800-452-4868
"Charlotte, NC","Denver, CO",1232,4287,3.48,169,168,34456,Step Deck,2026-05-27,2026-05-30,TQL,800-580-3101
"Denver, CO","Spokane, WA",871,2970,3.41,46,21,39116,Flatbed,2026-06-17,2026-06-19,C.H. Robinson,800-323-7587
"Reno, NV","Detroit, MI",611,1008,1.65,72,142,41542,Dry Van,2026-06-12,2026-06-14,Echo Global Logistics,800-354-7993
"Dallas, TX","Memphis, TN",600,960,1.6,57,136,45962,Flatbed,2026-06-15,2026-06-18,RXO,800-866-0190
"Reno, NV","New Orleans, LA",1257,3293,2.62,10,39,40694,Dry Van,2026-06-14,2026-06-16,TQL,800-580-3101
"Orlando, FL","Los Angeles, CA",2241,6229,2.78,138,44,41903,Dry Van,2026-06-05,2026-06-10,Echo Global Logistics,800-354-7993
"Plano, TX","Detroit, MI",1530,4957,3.24,203,82,35652,Dry Van,2026-05-20,2026-05-22,Uber Freight,844-822-8237
"Charlotte, NC","Greensboro, NC",1793,6042,3.37,220,13,15773,Reefer,2026-06-15,2026-06-17,TQL,800-580-3101
"San Jose, CA","Detroit, MI",609,2058,3.38,24,161,34804,Reefer,2026-05-26,2026-05-30,Landstar,800-872-9400
"Savannah, GA","Sacramento, CA",421,1469,3.49,141,84,29977,Step Deck,2026-06-12,2026-06-14,C.H. Robinson,800-323-7587
"Fresno, CA","Philadelphia, PA",1859,6394,3.44,7,117,34383,Dry Van,2026-06-11,2026-06-13,Coyote Logistics,877-626-9683
"Miami, FL","Little Rock, AR",385,1120,2.91,64,127,14716,Flatbed,2026-06-01,2026-06-06,Landstar,800-872-9400
"Las Vegas, NV","Philadelphia, PA",1432,4167,2.91,3,155,46743,Reefer,2026-05-19,2026-05-22,JB Hunt,800-452-4868
"Tucson, AZ","Orlando, FL",1683,5015,2.98,90,169,9894,Dry Van,2026-06-10,2026-06-15,XPO Logistics,800-755-2728
"Fargo, ND","Denver, CO",606,1587,2.62,136,35,26050,Dry Van,2026-06-07,2026-06-08,Landstar,800-872-9400
"Tampa, FL","Jacksonville, FL",290,452,1.56,7,105,43224,Step Deck,2026-06-19,2026-06-19,TQL,800-580-3101
"Irving, TX","Plano, TX",1741,5275,3.03,179,56,30928,Step Deck,2026-06-16,2026-06-19,Coyote Logistics,877-626-9683
"Springfield, IL","Atlanta, GA",1323,4339,3.28,4,5,33070,Reefer,2026-06-06,2026-06-11,C.H. Robinson,800-323-7587
"Columbus, OH","Miami, FL",1680,4804,2.86,166,148,47415,Step Deck,2026-06-12,2026-06-17,JB Hunt,800-452-4868
"Salt Lake City, UT","Philadelphia, PA",1074,2813,2.62,122,107,30920,Step Deck,2026-06-08,2026-06-12,RXO,800-866-0190
"Springfield, IL","Sacramento, CA",408,938,2.3,210,122,38841,Step Deck,2026-05-21,2026-05-24,Coyote Logistics,877-626-9683
"Phoenix, AZ","Fort Worth, TX",496,1641,3.31,197,146,15167,Dry Van,2026-06-16,2026-06-19,Coyote Logistics,877-626-9683
"Pittsburgh, PA","Buffalo, NY",1618,5290,3.27,15,66,19529,Step Deck,2026-05-19,2026-05-20,JB Hunt,800-452-4868
"Charlotte, NC","St Louis, MO",412,844,2.05,84,160,10123,Step Deck,2026-05-27,2026-06-01,Uber Freight,844-822-8237
"Jacksonville, FL","Buffalo, NY",2406,7675,3.19,91,27,38445,Flatbed,2026-06-19,2026-06-19,JB Hunt,800-452-4868
"Amarillo, TX","San Jose, CA",1901,4239,2.23,96,139,22622,Dry Van,2026-06-12,2026-06-17,Uber Freight,844-822-8237
"Fort Wayne, IN","Charlotte, NC",1138,3243,2.85,213,125,46021,Flatbed,2026-05-20,2026-05-23,Landstar,800-872-9400
"Fort Lauderdale, FL","New York, NY",1804,3932,2.18,128,112,30884,Reefer,2026-05-23,2026-05-24,JB Hunt,800-452-4868
"Jacksonville, FL","Pittsburgh, PA",1076,3077,2.86,133,141,37674,Dry Van,2026-05-30,2026-06-01,C.H. Robinson,800-323-7587
"Tacoma, WA","New York, NY",865,2543,2.94,219,118,25624,Dry Van,2026-06-09,2026-06-10,RXO,800-866-0190
"Irving, TX","Tucson, AZ",825,3069,3.72,189,46,34185,Flatbed,2026-06-05,2026-06-08,Landstar,800-872-9400
"Buffalo, NY","Memphis, TN",490,1715,3.5,23,124,19320,Flatbed,2026-06-14,2026-06-19,JB Hunt,800-452-4868
"Tucson, AZ","Knoxville, TN",2009,4299,2.14,81,115,35582,Flatbed,2026-06-03,2026-06-08,TQL,800-580-3101
"Chicago, IL","Columbus, OH",723,1691,2.34,49,42,40607,Reefer,2026-06-05,2026-06-07,TQL,800-580-3101
"Sacramento, CA","Los Angeles, CA",2440,5050,2.07,76,94,41409,Dry Van,2026-05-19,2026-05-21,C.H. Robinson,800-323-7587
"San Jose, CA","Birmingham, AL",694,1082,1.56,63,61,33482,Step Deck,2026-05-22,2026-05-23,Uber Freight,844-822-8237
"Seattle, WA","Lubbock, TX",504,1023,2.03,157,140,29390,Dry Van,2026-06-14,2026-06-18,Landstar,800-872-9400
"Springfield, IL","Dallas, TX",1335,3417,2.56,21,60,30668,Dry Van,2026-05-25,2026-05-30,TQL,800-580-3101
"Reno, NV","Columbus, OH",2091,4892,2.34,61,164,8730,Dry Van,2026-06-19,2026-06-19,Schneider,800-558-6767
"Dallas, TX","Fort Wayne, IN",2433,8953,3.68,8,2,10690,Dry Van,2026-06-10,2026-06-12,RXO,800-866-0190
"San Jose, CA","Pittsburgh, PA",2538,3984,1.57,152,113,33912,Step Deck,2026-06-03,2026-06-04,TQL,800-580-3101
"Sacramento, CA","Birmingham, AL",2365,4304,1.82,171,41,34586,Flatbed,2026-06-09,2026-06-14,Uber Freight,844-822-8237
"Detroit, MI","Columbus, OH",2380,7616,3.2,211,161,26617,Flatbed,2026-05-23,2026-05-28,Schneider,800-558-6767
"Irving, TX","Amarillo, TX",1559,4474,2.87,218,87,36217,Step Deck,2026-06-01,2026-06-03,Landstar,800-872-9400
"Salt Lake City, UT","New York, NY",2519,4912,1.95,30,130,9347,Reefer,2026-06-13,2026-06-14,XPO Logistics,800-755-2728
"Greensboro, NC","Buffalo, NY",1075,2096,1.95,205,55,17481,Step Deck,2026-05-29,2026-06-02,C.H. Robinson,800-323-7587
"Indianapolis, IN","Greensboro, NC",1843,6008,3.26,28,96,9377,Reefer,2026-05-28,2026-05-30,RXO,800-866-0190
"Amarillo, TX","Springfield, IL",1659,3152,1.9,142,13,27797,Dry Van,2026-05-30,2026-06-03,Coyote Logistics,877-626-9683
"Knoxville, TN","Houston, TX",2312,6080,2.63,92,28,40570,Step Deck,2026-06-15,2026-06-19,Uber Freight,844-822-8237
"Kansas City, MO","Tulsa, OK",1120,2094,1.87,150,0,37418,Flatbed,2026-06-10,2026-06-13,C.H. Robinson,800-323-7587
"San Antonio, TX","Arlington, TX",1181,2373,2.01,88,75,36164,Reefer,2026-05-30,2026-06-02,Uber Freight,844-822-8237
"Jacksonville, FL","Memphis, TN",505,1206,2.39,104,104,11741,Reefer,2026-06-13,2026-06-18,JB Hunt,800-452-4868
"Greensboro, NC","Grand Rapids, MI",1945,5193,2.67,72,47,41946,Reefer,2026-06-06,2026-06-10,Landstar,800-872-9400
"Boise, ID","Spokane, WA",885,2150,2.43,78,153,26836,Flatbed,2026-05-24,2026-05-28,Landstar,800-872-9400
"Kansas City, MO","Reno, NV",830,1718,2.07,209,160,8481,Dry Van,2026-06-13,2026-06-16,Schneider,800-558-6767
"San Diego, CA","Greensboro, NC",1701,3299,1.94,186,63,13363,Flatbed,2026-05-31,2026-06-05,Uber Freight,844-822-8237
"Spokane, WA","Knoxville, TN",494,997,2.02,197,162,36592,Flatbed,2026-05-23,2026-05-24,Echo Global Logistics,800-354-7993
"Los Angeles, CA","Oklahoma City, OK",871,1794,2.06,39,148,17686,Step Deck,2026-05-31,2026-06-04,XPO Logistics,800-755-2728
"Buffalo, NY","Seattle, WA",430,688,1.6,104,90,40956,Flatbed,2026-05-29,2026-06-02,Landstar,800-872-9400
"Cleveland, OH","Denver, CO",395,1094,2.77,15,155,12226,Flatbed,2026-06-02,2026-06-06,XPO Logistics,800-755-2728
"Cleveland, OH","Indianapolis, IN",751,1396,1.86,89,159,36356,Flatbed,2026-05-27,2026-05-31,Landstar,800-872-9400
"Columbus, OH","Springfield, IL",2478,8474,3.42,209,139,25099,Flatbed,2026-05-30,2026-06-01,RXO,800-866-0190
"Phoenix, AZ","Savannah, GA",636,2232,3.51,126,132,17524,Reefer,2026-06-01,2026-06-02,Landstar,800-872-9400
"Rochester, NY","Savannah, GA",803,2762,3.44,20,107,26325,Step Deck,2026-06-18,2026-06-19,Echo Global Logistics,800-354-7993
"Memphis, TN","Rockford, IL",1701,4813,2.83,151,26,17817,Step Deck,2026-06-18,2026-06-19,TQL,800-580-3101
"Boise, ID","Los Angeles, CA",1131,3042,2.69,108,155,45857,Step Deck,2026-06-17,2026-06-19,RXO,800-866-0190
"Seattle, WA","Pittsburgh, PA",1045,2675,2.56,211,136,14635,Reefer,2026-05-30,2026-06-01,RXO,800-866-0190
"Spokane, WA","Birmingham, AL",1837,6870,3.74,29,17,43482,Flatbed,2026-06-11,2026-06-15,Schneider,800-558-6767
"Atlanta, GA","Nashville, TN",1894,5416,2.86,172,33,16194,Dry Van,2026-05-29,2026-06-03,TQL,800-580-3101
"Buffalo, NY","New York, NY",2593,6534,2.52,110,150,41509,Dry Van,2026-06-16,2026-06-19,Schneider,800-558-6767
"Springfield, IL","Spokane, WA",2100,3948,1.88,38,1,45668,Dry Van,2026-05-29,2026-06-02,JB Hunt,800-452-4868
"St Louis, MO","San Antonio, TX",413,1115,2.7,182,50,16411,Step Deck,2026-06-01,2026-06-05,Coyote Logistics,877-626-9683
"Amarillo, TX","Las Vegas, NV",2237,5324,2.38,197,137,30859,Flatbed,2026-05-29,2026-06-01,Uber Freight,844-822-8237
"Kansas City, MO","Rochester, NY",1604,5950,3.71,22,57,20078,Dry Van,2026-05-21,2026-05-25,Uber Freight,844-822-8237
"Dallas, TX","Atlanta, GA",2497,6392,2.56,74,122,10308,Step Deck,2026-05-28,2026-05-30,Echo Global Logistics,800-354-7993
"Jacksonville, FL","Birmingham, AL",878,2634,3.0,117,7,33190,Flatbed,2026-06-05,2026-06-10,Uber Freight,844-822-8237
"Rockford, IL","Nashville, TN",2254,7821,3.47,139,81,11271,Step Deck,2026-05-19,2026-05-22,XPO Logistics,800-755-2728
"Phoenix, AZ","Plano, TX",1967,6707,3.41,123,50,12467,Flatbed,2026-06-02,2026-06-05,Echo Global Logistics,800-354-7993
"Los Angeles, CA","Tucson, AZ",925,3024,3.27,152,89,12334,Dry Van,2026-06-05,2026-06-06,Landstar,800-872-9400
"Arlington, TX","Chicago, IL",1714,3479,2.03,61,88,32847,Step Deck,2026-06-07,2026-06-12,JB Hunt,800-452-4868
"Columbus, OH","Raleigh, NC",410,1291,3.15,40,103,25420,Dry Van,2026-06-05,2026-06-09,Uber Freight,844-822-8237
"San Antonio, TX","Fargo, ND",918,2056,2.24,137,84,42143,Dry Van,2026-06-14,2026-06-15,RXO,800-866-0190
"San Jose, CA","Fresno, CA",1706,5186,3.04,193,128,34544,Dry Van,2026-05-25,2026-05-27,Echo Global Logistics,800-354-7993
"Atlanta, GA","Greensboro, NC",1221,4236,3.47,182,132,40271,Step Deck,2026-06-07,2026-06-11,TQL,800-580-3101
"Miami, FL","Fort Wayne, IN",2274,7799,3.43,18,80,30104,Flatbed,2026-05-19,2026-05-22,Coyote Logistics,877-626-9683
"San Antonio, TX","Buffalo, NY",2101,3844,1.83,22,136,46948,Dry Van,2026-06-07,2026-06-12,Echo Global Logistics,800-354-7993
"Amarillo, TX","Jacksonville, FL",1134,3969,3.5,6,105,46250,Step Deck,2026-06-06,2026-06-08,JB Hunt,800-452-4868
"Nashville, TN","Little Rock, AR",665,1695,2.55,59,163,11898,Dry Van,2026-06-19,2026-06-19,XPO Logistics,800-755-2728
"Pittsburgh, PA","San Antonio, TX",381,979,2.57,20,76,38144,Dry Van,2026-05-25,2026-05-30,RXO,800-866-0190
"Fargo, ND","Greensboro, NC",2249,6387,2.84,152,47,27876,Dry Van,2026-06-15,2026-06-19,Schneider,800-558-6767
"Phoenix, AZ","Charlotte, NC",1034,3257,3.15,166,87,32724,Reefer,2026-06-17,2026-06-19,TQL,800-580-3101
"Las Vegas, NV","Chicago, IL",613,1624,2.65,143,91,8704,Flatbed,2026-05-27,2026-05-31,TQL,800-580-3101
"Nashville, TN","Memphis, TN",1481,2354,1.59,184,68,43647,Flatbed,2026-06-16,2026-06-19,C.H. Robinson,800-323-7587
"Kansas City, MO","Fresno, CA",1527,4061,2.66,152,148,34764,Flatbed,2026-05-24,2026-05-29,Echo Global Logistics,800-354-7993
"Irving, TX","Springfield, IL",991,1555,1.57,207,112,31350,Reefer,2026-06-08,2026-06-11,Echo Global Logistics,800-354-7993
"Fargo, ND","Detroit, MI",194,591,3.05,72,97,38592,Flatbed,2026-06-15,2026-06-19,TQL,800-580-3101
"Plano, TX","New Orleans, LA",1469,3114,2.12,87,63,23065,Reefer,2026-05-21,2026-05-25,TQL,800-580-3101
"Los Angeles, CA","Tacoma, WA",1562,3701,2.37,107,113,8332,Step Deck,2026-05-28,2026-06-01,RXO,800-866-0190
"Kansas City, MO","Grand Rapids, MI",1609,2719,1.69,125,45,19696,Flatbed,2026-06-17,2026-06-19,XPO Logistics,800-755-2728
"Indianapolis, IN","Cleveland, OH",641,1544,2.41,65,61,10701,Flatbed,2026-05-28,2026-05-30,Echo Global Logistics,800-354-7993
"Fort Lauderdale, FL","Fresno, CA",2220,4728,2.13,121,76,18725,Dry Van,2026-06-01,2026-06-05,XPO Logistics,800-755-2728
"Pittsburgh, PA","Cincinnati, OH",2275,4595,2.02,134,11,35797,Flatbed,2026-06-01,2026-06-03,XPO Logistics,800-755-2728
"Sacramento, CA","Tulsa, OK",676,2305,3.41,14,62,43211,Flatbed,2026-05-19,2026-05-20,Echo Global Logistics,800-354-7993
"Houston, TX","Indianapolis, IN",1789,3255,1.82,21,167,13531,Flatbed,2026-06-18,2026-06-19,C.H. Robinson,800-323-7587
"Lubbock, TX","Jacksonville, FL",1783,5010,2.81,101,154,45980,Step Deck,2026-06-04,2026-06-05,RXO,800-866-0190
"Tacoma, WA","Tucson, AZ",601,1857,3.09,137,120,22433,Dry Van,2026-05-26,2026-05-29,C.H. Robinson,800-323-7587
"Amarillo, TX","Lubbock, TX",1309,2958,2.26,25,21,17239,Step Deck,2026-06-07,2026-06-09,Landstar,800-872-9400
"Charlotte, NC","Kansas City, MO",2415,8863,3.67,114,128,16856,Step Deck,2026-06-17,2026-06-18,Echo Global Logistics,800-354-7993
"Rochester, NY","Reno, NV",1816,2996,1.65,42,155,25346,Dry Van,2026-05-27,2026-05-31,Uber Freight,844-822-8237
"Fort Worth, TX","Greensboro, NC",221,360,1.63,165,12,12054,Dry Van,2026-05-29,2026-06-01,Landstar,800-872-9400
